,0
IX-ITC,-1.8797609718538209
IIIA-MFC,-1.4289597311161228
VIII-VFC,-1.1998200191038744
X-S1C,-1.1729864075180836
IX-S1C,-1.1554306756165695
VIII-OFC,-1.1197222487766996
VII-IPC,-1.0671035419814134
IX-IPC,-1.028588154751267
IIIB-V1C,-0.967149776501022
VIII-MFC,-0.9524642066279002
VI-STC,-0.9504979042983905
X-ITC,-0.9004982171878295
IX-VFC,-0.8829478995158724
VIII-ITC,-0.851656615952909
IX-DFC,-0.743489398388283
IX-STC,-0.5886290729456365
VII-STC,-0.5681976155175376
X-OFC,-0.5626416573412953
VIII-STC,-0.5564390248141028
VI-S1C,-0.5207779737235658
X-V1C,-0.508580594675952
VIII-IPC,-0.4782734908600379
X-STC,-0.4780707025875499
VIII-S1C,-0.4498898258551754
IIIB-S1C,-0.41887545709348434
VII-V1C,-0.3857501270875259
IIIA-V1C,-0.2595038630648415
X-MFC,-0.25664267792999523
IX-OFC,-0.23199440179267125
IX-MFC,-0.23087067391020455
IIIA-OFC,-0.19912182714207063
VIII-DFC,-0.194863060282213
X-VFC,-0.12362015810891532
VII-S1C,-0.12282315261100799
VI-ITC,-0.12240842199343091
IIIA-ITC,-0.08625659120088679
VIII-V1C,-0.07644104599323705
IIB-OFC,-0.00013772272881478975
IX-V1C,0.02350996538659
VII-OFC,0.03368325343396573
VII-ITC,0.16131263337793195
IIB-S1C,0.16236616831161232
IIB-IPC,0.2460757440376686
VI-VFC,0.27601707238387085
IIB-DFC,0.42105521369824334
IIIB-MFC,0.4244489786309977
VII-DFC,0.4395506224838855
XI-S1C,0.4873684969531338
IIB-VFC,0.5824858927289627
XI-MFC,0.5916363309689854
IV-DFC,0.7714081148948411
IIB-V1C,0.7907580211690505
IIIA-S1C,0.9472891581659256
IIIA-VFC,0.9906993968610079
IIIB-DFC,1.0040283911615928
XI-OFC,1.0791547970364663
VI-OFC,1.121617945877
XI-ITC,1.1229309991761902
XI-DFC,1.2183652826839113
X-DFC,1.2419215770729468
VI-MFC,1.3022712753729286
IIIB-IPC,1.3730742345786986
IIB-MFC,1.3936511332298744
VII-MFC,1.4903941638781728
IIIA-DFC,1.5439086045328239
IIIA-IPC,1.5504153646094019
VII-VFC,1.6464035995405735
IIIB-STC,1.7039742907398492
IIIA-STC,1.7160074256138378
XI-STC,2.0003282553538746
IIB-STC,2.0756046981860083
VI-IPC,2.3110457874923
X-IPC,2.3522426247845223
IV-STC,2.4022113414919355
IV-OFC,2.451999397621775
IV-IPC,2.50551108856965
IIIB-ITC,2.5215391339595885
IIB-ITC,2.552078464259751
IV-ITC,2.660720216575333
IV-S1C,2.7296149512976573
VI-DFC,2.96222723108847
XI-VFC,2.978782253327434
IV-V1C,3.170666125566691
IV-MFC,3.4965764319028554
IIIB-OFC,3.560950883569847
IIIB-VFC,3.6169166864673192
IV-VFC,3.618182399357523
XI-V1C,3.9414434279330757
VI-V1C,4.134905360938147
XI-IPC,4.3773186068348275
